ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,,,,,,,,,,,,,,,,,,,,,,,,
01M650,M650,Cascades High School,310100011650,DOE,Transfer School,High school,"10,11,12","09,10,11,12",Jan 5 1998,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,Paul Rotondo,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M696,M696,Bard High School Early College,310100011696,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",Jul 1 2001,Open,M097,135 MANGIN STREET,MANHATTAN,NY,10002,Raymond Peterson,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M839,M839,Tompkins Square Middle School,310100010839,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","0K,01,02,03,04,05,06,07,08",Jul 1 2001,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,Sonhando Estwick,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
02M001,M001,P.S. 001 Alfred E. Smith,310200010001,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1898,Open,M001,8 HENRY STREET,MANHATTAN,NY,10038,Amy Hom,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M002,M002,P.S. 002 Meyer London,310200010002,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1958,Open,M002,122 HENRY STREET,MANHATTAN,NY,10002,Brett Gustafson,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M003,M003,P.S. 003 Charrette School,310200010003,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1905,Open,M003,490 HUDSON STREET,MANHATTAN,NY,10014,Lisa Siegman,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M006,M006,P.S. 006 Lillie D. Blake,310200010006,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1953,Open,M006,45 EAST 81 STREET,MANHATTAN,NY,10028,Lauren Fontana,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M011,M011,P.S. 011 William T. Harris,310200010011,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1925,Open,M011,320 WEST 21 STREET,MANHATTAN,NY,10011,Robert Bender,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M033,M033,P.S. 033 Chelsea Prep,310200010033,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05",Jul 1 1951,Open,M033,281 9 AVENUE,MANHATTAN,NY,10001,Linore Lindy,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M040,M040,P.S. 040 Augustus Saint-Gaudens,310200010040,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1899,Open,M040,319 EAST 19 STREET,MANHATTAN,NY,10003,Susan Felder,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M041,M041,P.S. 041 Greenwich Village,310200010041,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1958,Open,M041,116 WEST 11 STREET,MANHATTAN,NY,10011,Kelly Shannon,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M042,M042,P.S. 042 Benjamin Altman,310200010042,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1899,Open,M042,71 HESTER STREET,MANHATTAN,NY,10002,Rosa Casiello O'Day,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M047,M047,47 The American Sign Language and English Secondary School,310200010047,DOE,Special Education,Secondary School,"08,09,10,11,12,SE","PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Jul 1 1908,Open,M047,223 EAST 23 STREET,MANHATTAN,NY,10010,Watfa A. Shama,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
