,system_code,location_code,location_name,primary_address_line_1,LONGITUDE,LATITUDE
932,02M340,M340,Sixth Avenue Elementary School,590 SIXTH AVENUE,-73.995534,40.739145
933,84M341,M341,Harlem Children's Zone Promise Academy II Charter,2005 MADISON AVENUE,-73.938714,40.807019
934,02M343,M343,The Peck Slip School,1 PECK SLIP,-74.002407,40.708774
935,05M344,M344,Academy of Collaborative Education,222 WEST 134 STREET,-73.945838,40.814917
936,01M345,M345,"Collaborative Academy of Science, Technology, & La",220 HENRY STREET,-73.986051,40.713362
937,06M346,M346,Community Health Academy of the Heights,504 WEST 158TH STREET,-73.942074,40.833695
938,02M347,M347,The 47 American Sign Language & English Lower Scho,223 EAST 23 STREET,-73.981329,40.738374
939,06M348,M348,Washington Heights Expeditionary Learning School,511 WEST 182ND STREET,-73.930991,40.849311
940,06M349,M349,Harbor Heights,306 FORT WASHINGTON AVENUE,-73.939785,40.845459
941,84M350,M350,Democracy Prep Charter School,2230 5 AVENUE,-73.938347,40.813532
942,84M351,M351,Success Academy Charter School - Harlem 1,34 WEST 118 STREET,-73.948088,40.802649
943,84M353,M353,New Heights Academy Charter School,1818 AMSTERDAM AVENUE,-73.945368,40.82884
944,84M355,M355,Ross Global Academy Charter School,420 EAST 12 STREET,-73.982472,40.729152
945,84M357,M357,Success Academy Charter School - Harlem 6,461 WEST 131 STREET,-73.95357,40.816158
946,84M358,M358,Success Academy Charter School - Hudson Yards,500 West 41 Street,-73.996499,40.758759
947,01M361,M361,The Children's Workshop School,610 EAST  12 STREET,-73.978254,40.727537
948,05M362,M362,Columbia Secondary School,425 WEST 123 STREET,-73.955722,40.810793
949,05M362,M362,Columbia Secondary School,425 WEST 123 STREET,-73.955722,40.810793
950,01M363,M363,Neighborhood School,121 EAST  3 STREET,-73.986214,40.72444
951,01M364,M364,Earth School,600 EAST  6 STREET,-73.981597,40.72313
952,06M366,M366,Washington Heights Academy,202 SHERMAN AVE,-73.921631,40.865575
953,05M367,M367,Academy for Social Action,509 WEST 129 STREET,-73.95552,40.815747
954,06M368,M368,Hamilton Heights School,1750 AMSTERDAM AVENUE,-73.947599,40.826514
955,05M369,M369,Urban Assembly School for the Performing Arts,509 WEST 129 STREET,-73.95552,40.815747
956,01M370,M370,IS 370m Learning Project Ms,420 EAST  12 STREET,-73.9829,40.7297
957,04M372,M372,Esperanza Preparatory Academy,240 EAST 109 STREET,-73.942285,40.792556
958,84M373,M373,Zeta Charter Schools - New York City 1,652 WEST 187TH STREET,-73.932869,40.853517
959,02M374,M374,Gramercy Arts High School,40 IRVING PLACE,-73.987064,40.735361
960,04M375,M375,Mosaic Preparatory Academy,141 EAST 111 STREET,-73.944546,40.796098
961,02M376,M376,NYC iSchool,131 AVENUE OF THE AMERICAS,-74.005058,40.72463
962,04M377,M377,Renaissance School of the Arts,319 EAST 117 STREET,-73.935895,40.797507
963,01M378,M378,School for Global Leaders,145 STANTON STREET,-73.986038,40.72004
964,84M380,M380,Harlem Village Academy West 2 Charter School,74 WEST 124 STREET,-73.945603,40.80669
965,04M381,M381,Global Neighborhood Secondary School,216 EAST 120 STREET,-73.937179,40.79969
966,84M382,M382,DREAM Charter School,1991 SECOND AVENUE,-73.945101,40.789174
967,84M383,M383,Storefront Academy Harlem Charter School,70 EAST 129 STREET,-73.937717,40.807581
968,84M384,M384,Success Academy Charter School - Harlem 2,144-176 EAST 128 STREET,-73.935461,40.805653
969,84M385,M385,Success Academy Charter School - Harlem 3,410 EAST 100 STREET,-73.942154,40.785107
970,84M386,M386,Success Academy Charter School - Harlem 4,240 WEST 113 STREET,-73.955583,40.801573
971,84M388,M388,St. HOPE Leadership Academy Charter School,222 WEST 134 STREET,-73.945838,40.814917
972,02M392,M392,Manhattan Business Academy,351 WEST  18 STREET,-74.00254,40.743407
973,02M393,M393,Business Of Sports School,439 WEST 49TH STREET,-73.990318,40.763655
974,02M394,M394,Emma Lazarus High School,100 HESTER STREET,-73.993607,40.716231
975,02M397,M397,Spruce Street School,12 SPRUCE STREET,-74.005473,40.711321
976,02M399,M399,The High School For Language And Diplomacy,40 IRVING PLACE,-73.987064,40.735361
977,02M400,M400,High School for Environmental Studies,444 WEST 56 STREET,-73.98861,40.767848
978,02M400,M400,High School for Environmental Studies,444 WEST 56 STREET,-73.98861,40.767848
979,75M401,M401,Hospital Schools,3450 EAST TREMONT AVENUE,-73.827642,40.831829
980,03M402,M402,The Urban Assembly School for Green Careers,145 WEST  84 STREET,-73.974483,40.786134
981,03M403,M403,The Global Learning Collaborative,145 WEST  84 STREET,-73.974483,40.786134
982,03M404,M404,Innovation Diploma Plus,145 WEST  84 STREET,-73.974483,40.786134
983,04M406,M406,Global Technology Preparatory,160 EAST 120 STREET,-73.939374,40.800616
984,02M407,M407,Institute for Collaborative Education,345 EAST  15TH STREET,-73.98259,40.732665
985,02M408,M408,Professional Performing Arts High School,328 WEST  48 STREET,-73.988665,40.761327
986,04M409,M409,Coalition School for Social Change,2351 FIRST AVENUE,-73.93374,40.799265
987,05M410,M410,The Urban Assembly Institute for New Technologies,509 WEST 129 STREET,-73.95552,40.815747
988,02M411,M411,Baruch College Campus High School,55 EAST  25 STREET,-73.985723,40.741888
989,02M412,M412,N.Y.C. Lab School for Collaborative Studies,333 WEST  17 STREET,-74.002222,40.742512
990,02M413,M413,School of the Future High School,127 EAST  22 STREET,-73.985323,40.739121
991,02M414,M414,N.Y.C. Museum School,333 WEST  17 STREET,-74.002222,40.742512
992,03M415,M415,Wadleigh Secondary School for the Performing & Vis,215 WEST 114 STREET,-73.954152,40.80261
993,02M416,M416,Eleanor Roosevelt High School,411 EAST 76 STREET,-73.953276,40.770288
994,03M417,M417,Frank McCourt High School,145 WEST  84 STREET,-73.974483,40.786134
995,02M418,M418,Millennium High School,75 BROAD STREET,-74.011202,40.704697
